町名,よみ,グループ
長束二丁目,ながつか2ちょうめ,1
長束三丁目,ながつか3ちょうめ,1
長束四丁目,ながつか4ちょうめ,2
長束五丁目,ながつか5ちょうめ,2
長束六丁目,ながつか6ちょうめ,2
長束町,ながつかちょう,2
長束西一丁目,ながつかにし1ちょうめ,2
長束西二丁目,ながつかにし2ちょうめ,2
長束西三丁目,ながつかにし3ちょうめ,2
長束西四丁目,ながつかにし4ちょうめ,2
長束西五丁目,ながつかにし5ちょうめ,2
西原一丁目,にしはら1ちょうめ,5
西原二丁目,にしはら2ちょうめ,7
西原三丁目,にしはら3ちょうめ,7
西原四丁目,にしはら4ちょうめ,7
西原五丁目,にしはら5ちょうめ,7
西原六丁目,にしはら6ちょうめ,7
西原七丁目,にしはら7ちょうめ,7
西原八丁目,にしはら8ちょうめ,7
西原九丁目,にしはら9ちょうめ,7
沼田町阿戸,ぬまたちょうあと,9
沼田町吉山,ぬまたちょうよしやま,9
東野一丁目,ひがしの1ちょうめ,8
東野二丁目,ひがしの2ちょうめ,8
東野三丁目,ひがしの3ちょうめ,8
東原一丁目,ひがしはら1ちょうめ,7
東原二丁目,ひがしはら2ちょうめ,7
東原三丁目,ひがしはら3ちょうめ,7
毘沙門台一丁目,びしゃもんだい1ちょうめ,12
毘沙門台二丁目,びしゃもんだい2ちょうめ,12
毘沙門台三丁目,びしゃもんだい3ちょうめ,12
毘沙門台四丁目,びしゃもんだい4ちょうめ,12
毘沙門台東一丁目,びしゃもんだいひがし1ちょうめ,12
毘沙門台東二丁目,びしゃもんだいひがし2ちょうめ,12
古市一丁目,ふるいち1ちょうめ,4
古市二丁目,ふるいち2ちょうめ,4
古市三丁目,ふるいち3ちょうめ,3
古市四丁目,ふるいち4ちょうめ,3
緑井一丁目,みどりい1ちょうめ,16
緑井二丁目,みどりい2ちょうめ,15
緑井三丁目,みどりい3ちょうめ,15
緑井四丁目,みどりい4ちょうめ,15
緑井五丁目,みどりい5ちょうめ,16
緑井六丁目,みどりい6ちょうめ,16
緑井七丁目,みどりい7ちょうめ,15
緑井八丁目,みどりい8ちょうめ,15
八木一丁目,やぎ1ちょうめ,16
八木二丁目,やぎ2ちょうめ,16
八木三丁目,やぎ3ちょうめ,15
八木四丁目,やぎ4ちょうめ,15
八木五丁目,やぎ5ちょうめ,15
八木六丁目,やぎ6ちょうめ,15
八木七丁目,やぎ7ちょうめ,15
八木八丁目,やぎ8ちょうめ,15
八木九丁目,やぎ9ちょうめ,15
八木町,やぎちょう,15
安東一丁目,やすひがし1ちょうめ,12
安東二丁目,やすひがし2ちょうめ,12
安東三丁目,やすひがし3ちょうめ,12
安東四丁目,やすひがし4ちょうめ,12
安東五丁目,やすひがし5ちょうめ,12
安東六丁目,やすひがし6ちょうめ,12
安東七丁目,やすひがし7ちょうめ,12
上安町,かみやすちょう,12
山本一丁目,やまもと1ちょうめ,2
山本二丁目,やまもと2ちょうめ,2
山本三丁目,やまもと3ちょうめ,2
山本四丁目,やまもと4ちょうめ,2
山本五丁目,やまもと5ちょうめ,2
山本六丁目,やまもと6ちょうめ,2
山本七丁目,やまもと7ちょうめ,2
山本八丁目,やまもと8ちょうめ,2
山本九丁目,やまもと9ちょうめ,2
山本新町一丁目,やまもとしんまち1ちょうめ,2
山本新町二丁目,やまもとしんまち2ちょうめ,2
山本新町三丁目,やまもとしんまち3ちょうめ,2
山本新町四丁目,やまもとしんまち4ちょうめ,2
山本新町五丁目,やまもとしんまち5ちょうめ,2
山本町,やまもとちょう,2
